# Revision 1.0,4/14/2019,Initial release,,,,,,,,,,,
# Revision 1.1,4/18/2019,Add the ePAD ground pin,,,,,,,,,,,
,,,,,,,,,,,,,
LCMXO3D-4300,,,,,,,,LCMXO3D-9400,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS
1,PT13D,0,TDI,Comp_OF_PT13C,-,,,1,PT15D,0,TDI,Comp_OF_PT15C,-
2,PT13C,0,TDO,True_OF_PT13D,-,,,2,PT15C,0,TDO,True_OF_PT15D,-
3,PT11A,0,-,True_OF_PT11B,TRUE,,,3,PT11A,0,-,True_OF_PT11B,TRUE
4,PT11B,0,-,Comp_OF_PT11A,TRUE,,,4,PT11B,0,-,Comp_OF_PT11A,TRUE
5,VCC,-,-,-,-,,,5,VCC,-,-,-,-
6,PL16A,3,-,True_OF_PL16B,-,,,6,PL25A,3,I3C,True_OF_PL25B,-
7,PL16B,3,-,Comp_OF_PL16A,-,,,7,PL25B,3,I3C,Comp_OF_PL25A,-
8,PL17A,3,PCLKT3_0,True_OF_PL17B,-,,,8,PL27A,3,PCLKT3_0,True_OF_PL27B,-
9,PL17B,3,PCLKC3_0,Comp_OF_PL17A,-,,,9,PL27B,3,PCLKC3_0,Comp_OF_PL27A,-
10,PL19A,3,-,True_OF_PL19B,-,,,10,PL29A,3,I3C,True_OF_PL29B,-
11,PL19B,3,-,Comp_OF_PL19A,-,,,11,PL29B,3,I3C,Comp_OF_PL29A,-
12,PL20A,3,-,True_OF_PL20B,-,,,12,PL30A,3,I3C,True_OF_PL30B,-
13,PL20B,3,-,Comp_OF_PL20A,-,,,13,PL30B,3,I3C,Comp_OF_PL30A,-
14,PL20C,3,-,True_OF_PL20D,-,,,14,PL30C,3,-,True_OF_PL30D,-
15,VCCIO3,3,-,-,-,,,15,VCCIO3,3,-,-,-
16,PB4A,2,CSSPIN,True_OF_PB4B,-,,,16,PB7A,2,CSSPIN,True_OF_PB7B,-
17,PB4B,2,-,Comp_OF_PB4A,-,,,17,PB7B,2,-,Comp_OF_PB7A,-
18,VCCIO2,2,-,-,-,,,18,VCCIO2,2,-,-,-
19,PB9A,2,MCLK/CCLK,True_OF_PB9B,-,,,19,PB16A,2,MCLK/CCLK,True_OF_PB16B,-
20,PB9B,2,SO/SPISO,Comp_OF_PB9A,-,,,20,PB16B,2,SO/SPISO,Comp_OF_PB16A,-
21,PB10A,2,-,True_OF_PB10B,-,,,21,PB18A,2,-,True_OF_PB18B,-
22,PB10B,2,-,Comp_OF_PB10A,-,,,22,PB18B,2,-,Comp_OF_PB18A,-
23,PB13A,2,PCLKT2_0,True_OF_PB13B,-,,,23,PB22A,2,PCLKT2_0,True_OF_PB22B,-
24,PB13B,2,PCLKC2_0,Comp_OF_PB13A,-,,,24,PB22B,2,PCLKC2_0,Comp_OF_PB22A,-
25,VCCIO2,2,-,-,-,,,25,VCCIO2,2,-,-,-
26,PB20A,2,PCLKT2_1,True_OF_PB20B,-,,,26,PB29A,2,PCLKT2_1,True_OF_PB29B,-
27,PB20B,2,PCLKC2_1,Comp_OF_PB20A,-,,,27,PB29B,2,PCLKC2_1,Comp_OF_PB29A,-
28,PB23C,2,-,True_OF_PB23D,-,,,28,PB32A,2,-,True_OF_PB32B,-
29,VCC,-,-,-,-,,,29,VCC,-,-,-,-
30,PB24A,2,-,True_OF_PB24B,-,,,30,PB35A,2,-,True_OF_PB35B,-
31,PB24B,2,-,Comp_OF_PB24A,-,,,31,PB35B,2,-,Comp_OF_PB35A,-
32,VCCIO2,2,-,-,-,,,32,VCCIO2,2,-,-,-
33,PB26A,2,-,True_OF_PB26B,-,,,33,PB41A,2,-,True_OF_PB41B,-
34,PB26B,2,-,Comp_OF_PB26A,-,,,34,PB41B,2,-,Comp_OF_PB41A,-
35,PB30A,2,SN,True_OF_PB30B,-,,,35,PB46A,2,SN,True_OF_PB46B,-
36,PB30B,2,SI/SISPI,Comp_OF_PB30A,-,,,36,PB46B,2,SI/SISPI,Comp_OF_PB46A,-
37,PR18A,1,-,True_OF_PR18B,-,,,37,PR28A,1,-,True_OF_PR28B,-
38,PR15B,1,-,Comp_OF_PR15A,-,,,38,PR21B,1,-,Comp_OF_PR21A,-
39,VCCIO1,1,-,-,-,,,39,VCCIO1,1,-,-,-
40,PR15A,1,-,True_OF_PR15B,-,,,40,PR21A,1,-,True_OF_PR21B,-
41,PR10B,1,PCLKC1_0,Comp_OF_PR10A,-,,,41,PR17B,1,PCLKC1_0,Comp_OF_PR17A,-
42,VCCIO1,1,-,-,-,,,42,VCCIO1,1,-,-,-
43,PR10A,1,PCLKT1_0,True_OF_PR10B,-,,,43,PR17A,1,PCLKT1_0,True_OF_PR17B,-
44,PR8B,1,-,Comp_OF_PR8A,-,,,44,PR12B,1,-,Comp_OF_PR12A,-
45,PR8A,1,-,True_OF_PR8B,-,,,45,PR12A,1,-,True_OF_PR12B,-
46,VCC,-,-,-,-,,,46,VCC,-,-,-,-
47,PR5A,1,-,True_OF_PR5B,-,,,47,PR5A,1,-,True_OF_PR5B,-
48,VCCIO1,1,-,-,-,,,48,VCCIO1,1,-,-,-
49,PR3B,1,R_GPLLC_IN,Comp_OF_PR3A,-,,,49,PR3B,1,R_GPLLC_IN,Comp_OF_PR3A,-
50,PR3A,1,R_GPLLT_IN,True_OF_PR3B,-,,,50,PR3A,1,R_GPLLT_IN,True_OF_PR3B,-
51,PR2C,1,-,True_OF_PR2D,-,,,51,PR2C,1,-,True_OF_PR2D,-
52,PR2B,1,R_GPLLC_FB,Comp_OF_PR2A,-,,,52,PR2B,1,R_GPLLC_FB,Comp_OF_PR2A,-
53,PR2A,1,R_GPLLT_FB,True_OF_PR2B,-,,,53,PR2A,1,R_GPLLT_FB,True_OF_PR2B,-
54,PT28D,0,DONE,Comp_OF_PT28C,-,,,54,PT44D,0,DONE,Comp_OF_PT44C,-
55,PT28C,0,INITN,True_OF_PT28D,-,,,55,PT44C,0,INITN,True_OF_PT44D,-
56,PT25B,0,-,Comp_OF_PT25A,TRUE,,,56,PT39B,0,-,Comp_OF_PT39A,TRUE
57,PT25A,0,-,True_OF_PT25B,TRUE,,,57,PT39A,0,-,True_OF_PT39B,TRUE
58,PT24B,0,-,Comp_OF_PT24A,TRUE,,,58,PT38B,0,-,Comp_OF_PT38A,TRUE
59,PT24A,0,-,True_OF_PT24B,TRUE,,,59,PT38A,0,-,True_OF_PT38B,TRUE
60,VCCIO0,0,-,-,-,,,60,VCCIO0,0,-,-,-
61,PT23D,0,PROGRAMN,Comp_OF_PT23C,-,,,61,PT31D,0,PROGRAMN,Comp_OF_PT31C,-
62,PT23C,0,JTAGENB,True_OF_PT23D,-,,,62,PT31C,0,JTAGENB,True_OF_PT31D,-
63,PT21B,0,-,Comp_OF_PT21A,TRUE,,,63,PT28B,0,-,Comp_OF_PT28A,TRUE
64,VCCIO0,0,-,-,-,,,64,VCCIO0,0,-,-,-
65,PT21A,0,-,True_OF_PT21B,TRUE,,,65,PT28A,0,-,True_OF_PT28B,TRUE
66,PT20D,0,SDA/PCLKC0_0,Comp_OF_PT20C,-,,,66,PT27D,0,SDA/PCLKC0_0,Comp_OF_PT27C,-
67,PT20C,0,SCL/PCLKT0_0,True_OF_PT20D,-,,,67,PT27C,0,SCL/PCLKT0_0,True_OF_PT27D,-
68,PT18B,0,PCLKC0_1,Comp_OF_PT18A,TRUE,,,68,PT23B,0,PCLKC0_1,Comp_OF_PT23A,TRUE
69,PT18A,0,PCLKT0_1,True_OF_PT18B,TRUE,,,69,PT23A,0,PCLKT0_1,True_OF_PT23B,TRUE
70,PT15D,0,TMS,Comp_OF_PT15C,-,,,70,PT22D,0,TMS,Comp_OF_PT22C,-
71,PT15C,0,TCK,True_OF_PT15D,-,,,71,PT22C,0,TCK,True_OF_PT22D,-
72,VCCIO0,0,-,-,-,,,72,VCCIO0,0,-,-,-
73,GND/EPAD,-,-,-,-,,,73,GND/EPAD,-,-,-,-
